id,tempo_casa_meses,plano,valor_mensal,uso_gb,chamados_suporte,cancelou
1,3,Padrao,62.47,32.2,0,Nao
2,22,Premium,112.83,17.6,2,Nao
3,56,Padrao,73.14,37.0,3,Nao
4,6,Padrao,85.83,35.5,1,Nao
5,21,Padrao,96.56,32.1,5,Nao
6,1,Basico,37.36,27.5,5,Sim
7,49,Premium,168.49,13.6,0,Nao
8,6,Padrao,80.4,7.3,6,Sim
9,72,Premium,158.52,13.3,3,Sim
10,24,Basico,33.0,30.4,6,Sim
11,30,Basico,44.69,23.5,3,Sim
12,48,Padrao,92.61,13.5,6,Sim
13,48,Padrao,78.35,22.8,4,Sim
14,17,Basico,42.34,9.1,6,Nao
15,61,Basico,37.55,3.9,4,Nao
16,54,Padrao,69.55,37.3,1,Nao
17,59,Basico,43.82,3.3,4,Nao
18,11,Padrao,89.05,35.3,6,Sim
19,14,Padrao,90.56,37.9,5,Sim
20,24,Premium,122.44,12.0,2,Sim
21,71,Premium,158.81,35.5,5,Sim
22,71,Premium,152.96,6.6,1,Sim
23,55,Basico,48.23,7.5,4,Nao
24,38,Premium,113.41,19.6,2,Nao
25,24,Premium,157.83,17.9,1,Nao
26,11,Premium,156.09,32.1,5,Sim
27,43,Basico,44.92,5.2,4,Nao
28,38,Premium,143.39,39.1,4,Nao
29,40,Premium,124.87,32.3,3,Nao
30,34,Basico,30.04,10.0,0,Nao
31,46,Premium,162.17,18.7,3,Sim
32,55,Basico,31.37,4.5,6,Nao
33,55,Basico,46.71,4.0,5,Sim
34,13,Basico,30.48,20.1,5,Nao
35,27,Basico,38.55,21.4,4,Sim
36,49,Padrao,73.77,37.8,5,Sim
37,41,Padrao,64.02,18.3,1,Nao
38,35,Padrao,93.35,11.1,3,Nao
39,37,Basico,38.51,20.6,4,Nao
40,40,Basico,32.97,7.6,4,Sim
41,10,Premium,166.33,21.0,0,Nao
42,67,Basico,38.7,38.8,0,Nao
43,52,Premium,132.77,37.1,0,Nao
44,11,Padrao,66.1,30.0,1,Sim
45,51,Premium,110.53,37.4,6,Sim
46,32,Padrao,98.54,39.4,5,Nao
47,2,Premium,120.95,35.2,5,Sim
48,3,Premium,150.81,12.0,4,Sim
49,25,Basico,30.35,12.9,5,Nao
50,10,Basico,40.43,14.1,2,Nao
51,9,Padrao,98.99,24.8,3,Nao
52,38,Premium,143.06,6.4,1,Nao
53,67,Premium,154.41,19.4,5,Sim
54,15,Basico,44.9,33.1,2,Nao
55,71,Premium,111.49,26.4,5,Sim
56,33,Premium,123.16,23.9,1,Sim
57,25,Premium,121.64,7.8,2,Nao
58,6,Basico,47.11,29.0,6,Sim
59,52,Premium,118.18,8.5,3,Sim
60,12,Premium,146.09,32.4,2,Nao
61,59,Padrao,61.01,16.3,0,Nao
62,56,Basico,42.17,5.3,0,Nao
63,54,Premium,143.86,39.1,2,Nao
64,52,Premium,112.19,12.6,4,Sim
65,72,Premium,138.6,5.2,1,Sim
66,53,Padrao,76.97,10.5,0,Nao
67,42,Basico,46.05,23.5,3,Nao
68,21,Padrao,98.0,39.1,4,Sim
69,13,Padrao,71.85,20.2,0,Nao
70,72,Basico,39.33,38.4,1,Nao
71,42,Padrao,71.69,38.5,0,Nao
72,16,Basico,39.68,27.5,1,Nao
